  Temperature      Weight        HeatFlow
      °C              %             W/g
     51.59          99.05          9.902
     51.68          99.05          9.891
     51.77          99.04          9.880
     51.84          99.04          9.869
     51.93          99.03          9.858
     52.01          99.03          9.847
     52.09          99.02          9.837
     52.18          99.02          9.826
     52.26          99.01          9.816
     52.34          99.01          9.806
     52.42          99.00          9.796
     52.51          98.99          9.786
     52.59          98.99          9.776
     52.67          98.99          9.766
     52.75          98.98          9.757
     52.83          98.97          9.748
     52.91          98.97          9.738
     53.00          98.96          9.729
     53.08          98.96          9.720
     53.16          98.95          9.711
     53.25          98.95          9.702
     53.33          98.95          9.693
     53.42          98.94          9.685
     53.49          98.93          9.676
     53.58          98.93          9.667
     53.65          98.92          9.659
     53.74          98.92          9.650
     53.82          98.91          9.642
     53.89          98.91          9.634
     53.97          98.90          9.626
     54.05          98.90          9.618
     54.13          98.89          9.610
     54.21          98.88          9.602
     54.29          98.88          9.594
     54.38          98.87          9.587
     54.46          98.87          9.579
     54.54          98.86          9.572
     54.61          98.86          9.565
     54.69          98.85          9.557
     54.77          98.85          9.550
     54.85          98.85          9.543
     54.93          98.84          9.535
     55.01          98.84          9.529
     55.09          98.83          9.522
     55.17          98.83          9.515
     55.25          98.82          9.508
     55.32          98.82          9.501
     55.40          98.81          9.495
     55.48          98.81          9.488
     55.56          98.80          9.482
     55.63          98.79          9.475
     55.71          98.79          9.469
     55.79          98.78          9.463
     55.86          98.78          9.456
     55.95          98.77          9.450
     56.03          98.77          9.444
     56.11          98.76          9.438
     56.18          98.76          9.432
     56.26          98.75          9.427
     56.33          98.75          9.421
     56.41          98.74          9.415
     56.49          98.74          9.409
     56.57          98.73          9.404
     56.64          98.73          9.398
     56.72          98.72          9.393
     56.80          98.72          9.387
     56.88          98.71          9.382
     56.95          98.70          9.376
     57.03          98.70          9.371
     57.10          98.69          9.366
     57.18          98.69          9.360
     57.26          98.68          9.355
     57.34          98.68          9.350
     57.41          98.67          9.345
     57.49          98.67          9.340
     57.57          98.66          9.335
     57.64          98.66          9.330
     57.72          98.65          9.325
     57.79          98.65          9.320
     57.87          98.64          9.316
     57.94          98.64          9.311
     58.02          98.63          9.307
     58.10          98.63          9.302
     58.17          98.62          9.297
     58.25          98.62          9.293
     58.33          98.61          9.289
     58.40          98.61          9.284
     58.48          98.60          9.280
     58.55          98.60          9.275
     58.63          98.59          9.271
     58.71          98.59          9.267
     58.79          98.58          9.263
     58.86          98.58          9.258
     58.93          98.57          9.254
     59.01          98.56          9.250
     59.08          98.56          9.246
     59.16          98.55          9.242
     59.24          98.55          9.237
     59.31          98.54          9.233
     59.39          98.54          9.229
     59.47          98.53          9.225
     59.54          98.53          9.221
     59.62          98.52          9.217
     59.69          98.52          9.213
     59.77          98.51          9.209
     59.84          98.51          9.205
     59.92          98.51          9.201
     60.00          98.50          9.197
     60.07          98.50          9.193
     60.15          98.49          9.189
     60.21          98.49          9.185
     60.29          98.48          9.181
     60.37          98.48          9.177
     60.44          98.47          9.174
     60.52          98.47          9.170
     60.60          98.46          9.166
     60.67          98.46          9.162
     60.75          98.45          9.158
     60.83          98.45          9.155
     60.90          98.44          9.151
     60.98          98.44          9.147
     61.05          98.43          9.143
     61.13          98.43          9.139
     61.20          98.42          9.136
     61.28          98.41          9.132
     61.35          98.41          9.128
     61.43          98.40          9.124
     61.51          98.40          9.120
     61.58          98.39          9.117
     61.66          98.39          9.113
